model_name,context_length,evidence_position,position_fraction,long_method,condition_display,n,score_no_evidence,score_oracle,score_long,context_gain,oracle_gap,oncu_raw,oncu_clipped,oncu_valid,diagnostic_reading
gemma3:12b,4000,pos_07,0.75,direct,Full context,80,0.0,1.0,0.7875,0.7875,0.2125,0.7875,0.7875,True,Large oracle gap remains after the condition.
gemma3:12b,4000,pos_07,0.75,retrieve_then_read,Retrieved evidence,80,0.0,1.0,0.8125,0.8125,0.1875,0.8125,0.8125,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,4000,pos_08,0.85,direct,Full context,80,0.0,1.0,0.775,0.775,0.225,0.775,0.775,True,Large oracle gap remains after the condition.
gemma3:12b,4000,pos_08,0.85,retrieve_then_read,Retrieved evidence,80,0.0,1.0,0.76875,0.76875,0.23125,0.76875,0.76875,True,Large oracle gap remains after the condition.
gemma3:12b,4000,pos_09,0.95,direct,Full context,80,0.0,1.0,0.7875,0.7875,0.2125,0.7875,0.7875,True,Large oracle gap remains after the condition.
gemma3:12b,4000,pos_09,0.95,retrieve_then_read,Retrieved evidence,80,0.0,1.0,0.86875,0.86875,0.13125,0.86875,0.86875,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,8000,pos_00,0.05,direct,Full context,80,0.0,1.0,0.160417,0.160417,0.839583,0.160417,0.160417,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,8000,pos_00,0.05,retrieve_then_read,Retrieved evidence,80,0.0,1.0,0.86875,0.86875,0.13125,0.86875,0.86875,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,8000,pos_01,0.15,direct,Full context,80,0.0,0.975,0.160096,0.160096,0.814904,0.164201,0.164201,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,8000,pos_01,0.15,retrieve_then_read,Retrieved evidence,80,0.0,0.975,0.83125,0.83125,0.14375,0.852564,0.852564,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,8000,pos_02,0.25,direct,Full context,80,0.00625,1.0,0.55,0.54375,0.45,0.54717,0.54717,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,8000,pos_02,0.25,retrieve_then_read,Retrieved evidence,80,0.00625,1.0,0.85625,0.85,0.14375,0.855346,0.855346,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,8000,pos_03,0.35,direct,Full context,80,0.0,0.9875,0.491667,0.491667,0.495833,0.49789,0.49789,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,8000,pos_03,0.35,retrieve_then_read,Retrieved evidence,80,0.0,0.9875,0.7875,0.7875,0.2,0.797468,0.797468,True,Large oracle gap remains after the condition.
gemma3:12b,8000,pos_04,0.45,direct,Full context,80,0.0,1.0,0.429167,0.429167,0.570833,0.429167,0.429167,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,8000,pos_04,0.45,retrieve_then_read,Retrieved evidence,80,0.0,1.0,0.84375,0.84375,0.15625,0.84375,0.84375,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,8000,pos_05,0.55,direct,Full context,80,0.0,0.9875,0.497917,0.497917,0.489583,0.504219,0.504219,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,8000,pos_05,0.55,retrieve_then_read,Retrieved evidence,80,0.0,0.9875,0.9375,0.9375,0.05,0.949367,0.949367,True,Compact evidence recovers most oracle advantage.
gemma3:12b,8000,pos_06,0.65,direct,Full context,80,0.00625,1.0,0.8,0.79375,0.2,0.798742,0.798742,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,8000,pos_06,0.65,retrieve_then_read,Retrieved evidence,80,0.00625,1.0,0.825,0.81875,0.175,0.823899,0.823899,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,8000,pos_07,0.75,direct,Full context,80,0.0,0.9875,0.7875,0.7875,0.2,0.797468,0.797468,True,Large oracle gap remains after the condition.
gemma3:12b,8000,pos_07,0.75,retrieve_then_read,Retrieved evidence,80,0.0,0.9875,0.7875,0.7875,0.2,0.797468,0.797468,True,Large oracle gap remains after the condition.
gemma3:12b,8000,pos_08,0.85,direct,Full context,80,0.0,1.0,0.7625,0.7625,0.2375,0.7625,0.7625,True,Large oracle gap remains after the condition.
gemma3:12b,8000,pos_08,0.85,retrieve_then_read,Retrieved evidence,80,0.0,1.0,0.83125,0.83125,0.16875,0.83125,0.83125,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,8000,pos_09,0.95,direct,Full context,80,0.0125,0.975,0.75,0.7375,0.225,0.766234,0.766234,True,Large oracle gap remains after the condition.
gemma3:12b,8000,pos_09,0.95,retrieve_then_read,Retrieved evidence,80,0.0125,0.975,0.79375,0.78125,0.18125,0.811688,0.811688,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,16000,pos_00,0.05,direct,Full context,80,0.0,1.0,0.125,0.125,0.875,0.125,0.125,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,16000,pos_00,0.05,retrieve_then_read,Retrieved evidence,80,0.0,1.0,0.8875,0.8875,0.1125,0.8875,0.8875,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,16000,pos_01,0.15,direct,Full context,80,0.025,1.0,0.1125,0.0875,0.8875,0.089744,0.089744,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,16000,pos_01,0.15,retrieve_then_read,Retrieved evidence,80,0.025,1.0,0.8,0.775,0.2,0.794872,0.794872,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,16000,pos_02,0.25,direct,Full context,80,0.00625,0.9875,0.125,0.11875,0.8625,0.121019,0.121019,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,16000,pos_02,0.25,retrieve_then_read,Retrieved evidence,80,0.00625,0.9875,0.83125,0.825,0.15625,0.840764,0.840764,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,16000,pos_03,0.35,direct,Full context,80,0.0375,1.0,0.11875,0.08125,0.88125,0.084416,0.084416,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,16000,pos_03,0.35,retrieve_then_read,Retrieved evidence,80,0.0375,1.0,0.8125,0.775,0.1875,0.805195,0.805195,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,16000,pos_04,0.45,direct,Full context,80,0.01875,1.0,0.10625,0.0875,0.89375,0.089172,0.089172,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,16000,pos_04,0.45,retrieve_then_read,Retrieved evidence,80,0.01875,1.0,0.8375,0.81875,0.1625,0.834395,0.834395,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,16000,pos_05,0.55,direct,Full context,80,0.0,1.0,0.11875,0.11875,0.88125,0.11875,0.11875,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,16000,pos_05,0.55,retrieve_then_read,Retrieved evidence,80,0.0,1.0,0.83125,0.83125,0.16875,0.83125,0.83125,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,16000,pos_06,0.65,direct,Full context,80,0.0,1.0,0.533333,0.533333,0.466667,0.533333,0.533333,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,16000,pos_06,0.65,retrieve_then_read,Retrieved evidence,80,0.0,1.0,0.88125,0.88125,0.11875,0.88125,0.88125,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,16000,pos_07,0.75,direct,Full context,80,0.0,1.0,0.441667,0.441667,0.558333,0.441667,0.441667,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,16000,pos_07,0.75,retrieve_then_read,Retrieved evidence,80,0.0,1.0,0.825,0.825,0.175,0.825,0.825,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,16000,pos_08,0.85,direct,Full context,80,0.03125,1.0,0.75,0.71875,0.25,0.741935,0.741935,True,Large oracle gap remains after the condition.
gemma3:12b,16000,pos_08,0.85,retrieve_then_read,Retrieved evidence,80,0.03125,1.0,0.80625,0.775,0.19375,0.8,0.8,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,16000,pos_09,0.95,direct,Full context,80,0.125,0.9875,0.75,0.625,0.2375,0.724638,0.724638,True,Large oracle gap remains after the condition.
gemma3:12b,16000,pos_09,0.95,retrieve_then_read,Retrieved evidence,80,0.125,0.9875,0.8625,0.7375,0.125,0.855072,0.855072,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,32000,pos_00,0.05,direct,Full context,80,0.05625,0.975,0.0625,0.00625,0.9125,0.006803,0.006803,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,32000,pos_00,0.05,retrieve_then_read,Retrieved evidence,80,0.05625,0.975,0.84375,0.7875,0.13125,0.857143,0.857143,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,32000,pos_01,0.15,direct,Full context,80,0.09375,0.9375,0.11875,0.025,0.81875,0.02963,0.02963,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,32000,pos_01,0.15,retrieve_then_read,Retrieved evidence,80,0.09375,0.9375,0.79375,0.7,0.14375,0.82963,0.82963,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,32000,pos_02,0.25,direct,Full context,80,0.0625,0.9875,0.125,0.0625,0.8625,0.067568,0.067568,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,32000,pos_02,0.25,retrieve_then_read,Retrieved evidence,80,0.0625,0.9875,0.9375,0.875,0.05,0.945946,0.945946,True,Compact evidence recovers most oracle advantage.
gemma3:12b,32000,pos_03,0.35,direct,Full context,80,0.05,1.0,0.11875,0.06875,0.88125,0.072368,0.072368,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,32000,pos_03,0.35,retrieve_then_read,Retrieved evidence,80,0.05,1.0,0.85625,0.80625,0.14375,0.848684,0.848684,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,32000,pos_04,0.45,direct,Full context,80,0.125,1.0,0.11875,-0.00625,0.88125,-0.007143,0.0,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,32000,pos_04,0.45,retrieve_then_read,Retrieved evidence,80,0.125,1.0,0.8,0.675,0.2,0.771429,0.771429,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,32000,pos_05,0.55,direct,Full context,80,0.025,0.9625,0.125,0.1,0.8375,0.106667,0.106667,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,32000,pos_05,0.55,retrieve_then_read,Retrieved evidence,80,0.025,0.9625,0.8125,0.7875,0.15,0.84,0.84,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,32000,pos_06,0.65,direct,Full context,80,0.1,1.0,0.125,0.025,0.875,0.027778,0.027778,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,32000,pos_06,0.65,retrieve_then_read,Retrieved evidence,80,0.1,1.0,0.8,0.7,0.2,0.777778,0.777778,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,32000,pos_07,0.75,direct,Full context,80,0.0625,0.975,0.1125,0.05,0.8625,0.054795,0.054795,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,32000,pos_07,0.75,retrieve_then_read,Retrieved evidence,80,0.0625,0.975,0.8625,0.8,0.1125,0.876712,0.876712,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,32000,pos_08,0.85,direct,Full context,80,0.0,1.0,0.454167,0.454167,0.545833,0.454167,0.454167,True,Full-context condition under-recovers oracle advantage.
gemma3:12b,32000,pos_08,0.85,retrieve_then_read,Retrieved evidence,80,0.0,1.0,0.8875,0.8875,0.1125,0.8875,0.8875,True,Condition improves substantially over no-evidence baseline.
gemma3:12b,32000,pos_09,0.95,direct,Full context,80,0.0,1.0,0.75,0.75,0.25,0.75,0.75,True,Large oracle gap remains after the condition.
gemma3:12b,32000,pos_09,0.95,retrieve_then_read,Retrieved evidence,80,0.0,1.0,0.85625,0.85625,0.14375,0.85625,0.85625,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,4000,pos_00,0.05,direct,Full context,80,0.0,0.95,0.939583,0.939583,0.010417,0.989035,0.989035,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,4000,pos_00,0.05,retrieve_then_read,Retrieved evidence,80,0.0,0.95,1.0,1.0,-0.05,1.052632,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,4000,pos_01,0.15,direct,Full context,80,0.0,0.929167,0.96875,0.96875,-0.039583,1.042601,1.0,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,4000,pos_01,0.15,retrieve_then_read,Retrieved evidence,80,0.0,0.929167,0.9875,0.9875,-0.058333,1.06278,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,4000,pos_02,0.25,direct,Full context,80,0.0,0.933333,0.9875,0.9875,-0.054167,1.058036,1.0,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,4000,pos_02,0.25,retrieve_then_read,Retrieved evidence,80,0.0,0.933333,0.95,0.95,-0.016667,1.017857,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,4000,pos_03,0.35,direct,Full context,80,0.0,0.904167,0.9875,0.9875,-0.083333,1.092166,1.0,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,4000,pos_03,0.35,retrieve_then_read,Retrieved evidence,80,0.0,0.904167,0.9875,0.9875,-0.083333,1.092166,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,4000,pos_04,0.45,direct,Full context,80,0.0,0.929167,0.975,0.975,-0.045833,1.049327,1.0,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,4000,pos_04,0.45,retrieve_then_read,Retrieved evidence,80,0.0,0.929167,0.9875,0.9875,-0.058333,1.06278,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,4000,pos_05,0.55,direct,Full context,80,0.0,0.920833,0.96875,0.96875,-0.047917,1.052036,1.0,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,4000,pos_05,0.55,retrieve_then_read,Retrieved evidence,80,0.0,0.920833,0.975,0.975,-0.054167,1.058824,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,4000,pos_06,0.65,direct,Full context,80,0.0,0.916667,0.945833,0.945833,-0.029167,1.031818,1.0,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,4000,pos_06,0.65,retrieve_then_read,Retrieved evidence,80,0.0,0.916667,0.975,0.975,-0.058333,1.063636,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,4000,pos_07,0.75,direct,Full context,80,0.0,0.945833,0.94375,0.94375,0.002083,0.997797,0.997797,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,4000,pos_07,0.75,retrieve_then_read,Retrieved evidence,80,0.0,0.945833,0.970833,0.970833,-0.025,1.026432,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,4000,pos_08,0.85,direct,Full context,80,0.0,0.916667,0.96875,0.96875,-0.052083,1.056818,1.0,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,4000,pos_08,0.85,retrieve_then_read,Retrieved evidence,80,0.0,0.916667,0.975,0.975,-0.058333,1.063636,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,4000,pos_09,0.95,direct,Full context,80,0.0,0.916667,0.947917,0.947917,-0.03125,1.034091,1.0,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,4000,pos_09,0.95,retrieve_then_read,Retrieved evidence,80,0.0,0.916667,0.995833,0.995833,-0.079167,1.086364,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,8000,pos_00,0.05,direct,Full context,80,0.0,0.916667,0.1,0.1,0.816667,0.109091,0.109091,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,8000,pos_00,0.05,retrieve_then_read,Retrieved evidence,80,0.0,0.916667,0.95,0.95,-0.033333,1.036364,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,8000,pos_01,0.15,direct,Full context,80,0.0,0.908333,0.091667,0.091667,0.816667,0.100917,0.100917,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,8000,pos_01,0.15,retrieve_then_read,Retrieved evidence,80,0.0,0.908333,1.0,1.0,-0.091667,1.100917,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,8000,pos_02,0.25,direct,Full context,80,0.0,0.941667,0.40625,0.40625,0.535417,0.431416,0.431416,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,8000,pos_02,0.25,retrieve_then_read,Retrieved evidence,80,0.0,0.941667,0.95,0.95,-0.008333,1.00885,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,8000,pos_03,0.35,direct,Full context,80,0.0,0.925,0.41875,0.41875,0.50625,0.452703,0.452703,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,8000,pos_03,0.35,retrieve_then_read,Retrieved evidence,80,0.0,0.925,0.96875,0.96875,-0.04375,1.047297,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,8000,pos_04,0.45,direct,Full context,80,0.0,0.9375,0.433333,0.433333,0.504167,0.462222,0.462222,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,8000,pos_04,0.45,retrieve_then_read,Retrieved evidence,80,0.0,0.9375,0.95,0.95,-0.0125,1.013333,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,8000,pos_05,0.55,direct,Full context,80,0.0,0.9375,0.403869,0.403869,0.533631,0.430794,0.430794,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,8000,pos_05,0.55,retrieve_then_read,Retrieved evidence,80,0.0,0.9375,0.95,0.95,-0.0125,1.013333,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,8000,pos_06,0.65,direct,Full context,80,0.0,0.925,0.958333,0.958333,-0.033333,1.036036,1.0,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,8000,pos_06,0.65,retrieve_then_read,Retrieved evidence,80,0.0,0.925,0.925,0.925,0.0,1.0,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,8000,pos_07,0.75,direct,Full context,80,0.0,0.908333,0.9625,0.9625,-0.054167,1.059633,1.0,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,8000,pos_07,0.75,retrieve_then_read,Retrieved evidence,80,0.0,0.908333,0.9375,0.9375,-0.029167,1.03211,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,8000,pos_08,0.85,direct,Full context,80,0.0,0.925,0.98125,0.98125,-0.05625,1.060811,1.0,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,8000,pos_08,0.85,retrieve_then_read,Retrieved evidence,80,0.0,0.925,1.0,1.0,-0.075,1.081081,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,8000,pos_09,0.95,direct,Full context,80,0.0,0.904167,0.975,0.975,-0.070833,1.078341,1.0,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,8000,pos_09,0.95,retrieve_then_read,Retrieved evidence,80,0.0,0.904167,0.9875,0.9875,-0.083333,1.092166,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,16000,pos_00,0.05,direct,Full context,80,0.0,0.945833,0.00625,0.00625,0.939583,0.006608,0.006608,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,16000,pos_00,0.05,retrieve_then_read,Retrieved evidence,80,0.0,0.945833,0.9625,0.9625,-0.016667,1.017621,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,16000,pos_01,0.15,direct,Full context,80,0.0,0.925,0.0375,0.0375,0.8875,0.040541,0.040541,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,16000,pos_01,0.15,retrieve_then_read,Retrieved evidence,80,0.0,0.925,0.9875,0.9875,-0.0625,1.067568,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,16000,pos_02,0.25,direct,Full context,80,0.0,0.933333,0.05,0.05,0.883333,0.053571,0.053571,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,16000,pos_02,0.25,retrieve_then_read,Retrieved evidence,80,0.0,0.933333,0.9875,0.9875,-0.054167,1.058036,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,16000,pos_03,0.35,direct,Full context,80,0.0,0.929167,0.04375,0.04375,0.885417,0.047085,0.047085,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,16000,pos_03,0.35,retrieve_then_read,Retrieved evidence,80,0.0,0.929167,0.975,0.975,-0.045833,1.049327,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,16000,pos_04,0.45,direct,Full context,80,0.0,0.941667,0.0,0.0,0.941667,0.0,0.0,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,16000,pos_04,0.45,retrieve_then_read,Retrieved evidence,80,0.0,0.941667,1.0,1.0,-0.058333,1.061947,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,16000,pos_05,0.55,direct,Full context,80,0.0,0.941667,0.03125,0.03125,0.910417,0.033186,0.033186,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,16000,pos_05,0.55,retrieve_then_read,Retrieved evidence,80,0.0,0.941667,0.975,0.975,-0.033333,1.035398,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,16000,pos_06,0.65,direct,Full context,80,0.0,0.9375,0.393333,0.393333,0.544167,0.419556,0.419556,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,16000,pos_06,0.65,retrieve_then_read,Retrieved evidence,80,0.0,0.9375,0.9875,0.9875,-0.05,1.053333,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,16000,pos_07,0.75,direct,Full context,80,0.0,0.941667,0.383333,0.383333,0.558333,0.40708,0.40708,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,16000,pos_07,0.75,retrieve_then_read,Retrieved evidence,80,0.0,0.941667,0.9875,0.9875,-0.045833,1.048673,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,16000,pos_08,0.85,direct,Full context,80,0.0,0.925,1.0,1.0,-0.075,1.081081,1.0,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,16000,pos_08,0.85,retrieve_then_read,Retrieved evidence,80,0.0,0.925,1.0,1.0,-0.075,1.081081,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,16000,pos_09,0.95,direct,Full context,80,0.0,0.925,0.975,0.975,-0.05,1.054054,1.0,True,Condition improves substantially over no-evidence baseline.
qwen2.5:14b,16000,pos_09,0.95,retrieve_then_read,Retrieved evidence,80,0.0,0.925,0.95,0.95,-0.025,1.027027,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,32000,pos_00,0.05,direct,Full context,80,0.0,0.941667,0.0125,0.0125,0.929167,0.013274,0.013274,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,32000,pos_00,0.05,retrieve_then_read,Retrieved evidence,80,0.0,0.941667,1.0,1.0,-0.058333,1.061947,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,32000,pos_01,0.15,direct,Full context,80,0.0,0.929167,0.0,0.0,0.929167,0.0,0.0,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,32000,pos_01,0.15,retrieve_then_read,Retrieved evidence,80,0.0,0.929167,1.0,1.0,-0.070833,1.076233,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,32000,pos_02,0.25,direct,Full context,80,0.0,0.9375,0.00625,0.00625,0.93125,0.006667,0.006667,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,32000,pos_02,0.25,retrieve_then_read,Retrieved evidence,80,0.0,0.9375,0.9875,0.9875,-0.05,1.053333,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,32000,pos_03,0.35,direct,Full context,80,0.0,0.929167,0.04375,0.04375,0.885417,0.047085,0.047085,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,32000,pos_03,0.35,retrieve_then_read,Retrieved evidence,80,0.0,0.929167,0.9875,0.9875,-0.058333,1.06278,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,32000,pos_04,0.45,direct,Full context,80,0.0,0.9125,0.04375,0.04375,0.86875,0.047945,0.047945,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,32000,pos_04,0.45,retrieve_then_read,Retrieved evidence,80,0.0,0.9125,0.933333,0.933333,-0.020833,1.022831,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,32000,pos_05,0.55,direct,Full context,80,0.0,0.916667,0.05,0.05,0.866667,0.054545,0.054545,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,32000,pos_05,0.55,retrieve_then_read,Retrieved evidence,80,0.0,0.916667,0.9875,0.9875,-0.070833,1.077273,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,32000,pos_06,0.65,direct,Full context,80,0.0,0.925,0.01875,0.01875,0.90625,0.02027,0.02027,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,32000,pos_06,0.65,retrieve_then_read,Retrieved evidence,80,0.0,0.925,1.0,1.0,-0.075,1.081081,1.0,True,Compact evidence recovers most oracle advantage.
qwen2.5:14b,32000,pos_07,0.75,direct,Full context,80,0.0,0.925,0.00625,0.00625,0.91875,0.006757,0.006757,True,Full-context condition under-recovers oracle advantage.
qwen2.5:14b,32000,pos_07,0.75,retrieve_then_read,Retrieved evidence,80,0.0,0.925,0.995833,0.995833,-0.070833,1.076577,1.0,True,Compact evidence recovers most oracle advantage.
